candidate_document_id,race_id,candidate_id,candidate_name,role,election_date,title,source_type,source_tier,publication_date,effective_date,source_url,live_url,archive_url,locator,analysis_scope,verification_status,notes
candidate-doc-andrew-edwards-ballotpedia-2016,me-house-39-dem-primary-2016,andrew-edwards,Andrew Edwards,opponent,2016-06-14,Andrew Edwards - Ballotpedia,candidate_profile,3,,,https://ballotpedia.org/Andrew_Edwards,https://ballotpedia.org/Andrew_Edwards,,,context_only,verified,Context-only discovery seed for Edwards biography/background. Keep out of main analysis support and paired-race sufficiency counts.
candidate-doc-portland-profile-edwards-2016,me-house-39-dem-primary-2016,andrew-edwards,Andrew Edwards,opponent,2016-06-14,House District 39: Two newcomers seek House nomination,candidate_profile,2,2016-05-30,2016-05-30,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,https://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,"range: Edwards, 29 => Sylvester, 46",analysis,verified,Shared Press Herald profile; scope to the Edwards section before the Sylvester heading.
candidate-doc-portland-profile-sylvester-2016,me-house-39-dem-primary-2016,mike-sylvester,Mike Sylvester,endorsed,2016-06-14,House District 39: Two newcomers seek House nomination,candidate_profile,2,2016-05-30,2016-05-30,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,https://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,"from: Sylvester, 46",analysis,verified,Shared Press Herald profile; scope from the Sylvester section through the end of the article.
candidate-doc-mike-connolly-platform-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,endorsed,2016-09-08,Our Progressive Platform,campaign_platform,1,2016-08-07,2016-08-07,http://web.archive.org/web/20160807044232/http://www.mikeconnolly.org:80/progressive_platform,http://www.mikeconnolly.org/progressive_platform,http://web.archive.org/web/20160807044232/http://www.mikeconnolly.org:80/progressive_platform,,analysis,verified,Archived 2016 platform page preserved in Wayback; use the archive snapshot as the fetch target and the original campaign page as the live reference.
candidate-doc-mike-connolly-scatv-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,endorsed,2016-09-08,Mike Connolly on SCATV,campaign_statement,1,2016-08-28,2016-08-28,http://web.archive.org/web/20160828215944/http://www.mikeconnolly.org:80/mike_connolly_scatv,https://www.mikeconnolly.org/mike_connolly_scatv,http://web.archive.org/web/20160828215944/http://www.mikeconnolly.org:80/mike_connolly_scatv,,analysis,verified,Archived first-party campaign post promoting Mike Connolly's SCATV appearance during the 2016 primary.
candidate-doc-mike-connolly-sierra-club-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,endorsed,2016-09-08,Endorsed by Sierra Club Massachusetts,campaign_statement,1,2016-08-30,2016-08-30,http://web.archive.org/web/20160830204857/http://www.mikeconnolly.org:80/endorsed_by_sierra_club_massachusetts,https://www.mikeconnolly.org/endorsed_by_sierra_club_massachusetts,http://web.archive.org/web/20160830204857/http://www.mikeconnolly.org:80/endorsed_by_sierra_club_massachusetts,,analysis,verified,Archived first-party campaign post highlighting the Sierra Club Massachusetts endorsement during the 2016 primary.
candidate-doc-debate-srt-connolly-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,endorsed,2016-09-08,Democratic Debate for MA State Representative SRT transcript,candidate_debate_transcript,2,2016-07-21,2016-07-21,https://archive.org/download/Democratic_Debate_for_MA_State_Representative/Democratic_Debate_for_MA_State_Representative.asr.srt,https://archive.org/details/Democratic_Debate_for_MA_State_Representative,,"time 00:02:21,220-00:03:21,260 | time 00:56:53,950-00:57:31,540",analysis,verified,Archive.org SRT captions for the televised debate; scope to Connolly's opening and closing statements.
candidate-doc-somerville-interview-connolly-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,endorsed,2016-09-08,Greater Somerville Election Special SRT transcript,candidate_interview_transcript,2,2016-07-19,2016-07-19,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,https://archive.org/details/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly,,"time 00:01:21,280-00:13:52,010",analysis,verified,Archive.org SRT captions for the Connolly profile/interview; scope to the candidate-specific interview window.
candidate-doc-somerville-qa-connolly-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,endorsed,2016-09-08,Q&A: Candidates for State Representative Twenty-sixth Middlesex District,candidate_questionnaire,2,2016-09-01,2016-09-01,https://www.thesomervilletimes.com/archives/70059,https://www.thesomervilletimes.com/archives/70059,,range: Mike Connolly => Tim Toomey,analysis,verified,Shared Somerville Times Q&A page; scope to the Connolly section through the paragraph before the Toomey heading. Structured API mirror: https://www.thesomervilletimes.com/wp-json/wp/v2/posts/70059.
candidate-doc-tim-toomey-transportation-2016,ma-house-26th-middlesex-dem-primary-2016,timothy-j-toomey-jr,"Timothy J. Toomey, Jr.",opponent,2016-09-08,Transportation,campaign_policy_page,1,2016-04-16,2016-04-16,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,https://timtoomey.org/transportation/,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,,analysis,verified,"Archived transportation issues page with Green Line, Grand Junction, and McGrath policy language."
