topic,endorsed_excerpts,opponent_excerpts,endorsed_share,opponent_share,cosine_similarity
housing,215,397,0.202639,0.167017,0.838736
climate_energy,120,344,0.113101,0.144720,0.764986
public_safety,135,289,0.127238,0.121582,0.815113
healthcare,121,230,0.114043,0.096761,0.788553
education,80,221,0.075401,0.092974,0.895787
political_strategy,95,163,0.089538,0.068574,0.642842
labor,102,140,0.096136,0.058898,0.808142
tax_budget,51,146,0.048068,0.061422,0.746754
immigration,31,123,0.029218,0.051746,0.617581
civil_rights,32,99,0.030160,0.041649,0.540473
economic_ownership,26,99,0.024505,0.041649,0.279918
democracy,32,77,0.030160,0.032394,0.527541
foreign_policy,21,49,0.019793,0.020614,0.305918
